English,Turkish
sentence,cümle
unusual,olağan dışı
closely,yakından
convince,ikna etmek
height,yükseklik
physician,doktor
assess,değer biçmek
plenty,bolca
virtually,sanal olarak
addition,ek
sharp,keskin
creative,yaratıcı
lower,daha düşük
approve,onaylamak
explanation,açıklama
gay,eşcinsel
campus,yerleşke
proper,düzgün
guilty,suçlu
acquire,elde etmek
compete,rekabet etmek
technical,teknik
plus,artı
immigrant,göçmen
weak,zayıf
illegal,yasadışı
hi,MERHABA
alternative,alternatif
interaction,etkileşim
column,kolon
personality,kişilik
signal,sinyal
curriculum,Müfredat
honor,onur
passenger,yolcu
assistance,yardım
forever,sonsuza kadar
regard,saygınlık
Israeli,İsrail
association,dernek
twenty,yirmi
knock,kapıyı çalmak
wrap,dürüm
lab,laboratuvar
display,görüntülemek
criticism,eleştiri
asset,varlık
depression,depresyon
spiritual,manevi
musical,müzikal
journalist,gazeteci
prayer,namaz
suspect,şüphelenmek
scholar,akademisyen
warning,uyarı
climate,iklim
cheese,peynir
observation,gözlem
childhood,çocukluk
payment,ödeme
sir,Sayın
permit,izin vermek
cigarette,sigara
definition,tanım
priority,öncelik
bread,ekmek
creation,yaratılış
graduate,mezun olmak
request,rica etmek
emotion,duygu
scream,bağırmak
dramatic,dramatik
universe,Evren
gap,açıklık
excellent,harika
deeply,derinden
prosecutor,Savcı
lucky,şanslı
drag,sürüklemek
airline,havayolu
library,kütüphane
agenda,Gündem
recover,iyileşmek
factory,fabrika
selection,seçim
primarily,öncelikle
roof,çatı
unable,aciz
expense,gider
initiative,girişim
diet,diyet
arrest,tutuklamak
funding,finansman
therapy,terapi
wash,yıkamak
schedule,takvim
sad,üzgün
brief,kısa bilgi
housing,Konut
post,postalamak
purchase,satın almak
existing,mevcut
steel,çelik
regarding,ilişkin
shout,bağırmak
remaining,geriye kalan
visual,görsel
fairly,adil bir şekilde
chip,yonga
violent,şiddetli
silent,sessiz
suppose,sanmak
self,öz
bike,bisiklet
tea,çay
perceive,algılamak
comparison,karşılaştırmak
settlement,yerleşme
layer,katman
planning,planlama
description,Tanım
slide,slayt
widely,yaygın olarak
wedding,düğün
inform,bilgi vermek
portion,porsiyon
territory,bölge
immediate,acil
opponent,rakip
abandon,terk etmek
lake,göl
transform,dönüştürmek
tension,tansiyon
leading,önde gelen
bother,rahatsız etmek
consist,meydana gelmek
alcohol,alkol
enable,olanak vermek
bend,bükülmek
saving,tasarruf
desert,çöl
shall,acak
error,hata
cop,polis
Arab,Arap
double,çift
sand,kum
Spanish,İspanyol
print,Yazdır
preserve,korumak
passage,geçit
formal,resmi
transition,geçiş
existence,varoluş
album,albüm
participation,katılım
arrange,düzenlemek
atmosphere,atmosfer
joint,eklem yeri
reply,cevap vermek
cycle,döngü
opposite,zıt
lock,kilit
deserve,hak etmek
consistent,tutarlı
resistance,rezistans
discovery,keşif
exposure,maruziyet
pose,poz
stream,aktarım
sale,satış
pot,tencere
grand,büyük
mine,bana ait
hello,Merhaba
coalition,koalisyon
tale,masal
knife,bıçak
resolve,çözmek
racial,ırksal
phase,faz
joke,şaka
coat,kaban
Mexican,Meksikalı
symptom,belirti
manufacturer,üretici firma
philosophy,Felsefe
potato,patates
foundation,temel
quote,alıntı
online,çevrimiçi
negotiation,müzakere
urge,dürtü
occasion,fırsat
dust,toz
breathe,nefes almak
elect,seçmek
investigator,araştırmacı
jacket,ceket
glad,memnun
ordinary,sıradan
reduction,kesinti
rarely,nadiren
pack,ambalaj
suicide,intihar
numerous,çeşitli
substance,madde
discipline,disiplin
elsewhere,başka yerde
iron,ütü
practical,pratik
moreover,Dahası
passion,tutku
volunteer,gönüllü
implement,uygulamak
essentially,esasen
gene,gen
enforcement,icra
vs,vs
sauce,Sos
independence,bağımsızlık
marketing,pazarlama
priest,rahip
amazing,inanılmaz
intense,yoğun
advance,ilerlemek
employer,iş veren
shock,şok
inspire,ilham vermek
adjust,ayarlamak
retire,emekli olmak
visible,görünür
kiss,öpücük
illness,hastalık
cap,kap
habit,alışkanlık
competitive,rekabetçi
juice,Meyve suyu
congressional,kongre
involvement,katılım
dominate,hakim olmak
previously,önceden
whenever,her ne zaman
transfer,Aktar
analyze,analiz etmek
attach,eklemek
disaster,felaket
parking,otopark
prospect,olasılık
boss,patron
complaint,şikayet
championship,şampiyonluk
fundamental,esas
severe,haşin
enhance,genişletmek
mystery,gizem
impose,empoze etmek
poverty,yoksulluk
entry,giriş
spending,harcama
king,kral
evaluate,değerlendirmek
symbol,sembol
maker,yapıcı
mood,mod
accomplish,sonuçlandırmak
emphasis,vurgu
illustrate,gözünde canlandırmak
boot,bot
monitor,monitör
Asian,Asya
entertainment,eğlence
bean,fasulye
evaluation,değerlendirme
creature,yaratık
commander,komutan
digital,dijital
arrangement,ayarlama
concentrate,yoğunlaşmak
usual,olağan
anger,kızgınlık
psychological,psikolojik
heavily,ağır şekilde
peak,doruğa ulaşmak
approximately,yaklaşık olarak
increasing,artan
disorder,düzensizlik
missile,füze
equally,eşit olarak
vary,çeşitli
wire,tel
round,yuvarlak
distribution,dağıtım
transportation,toplu taşıma
holy,kutsal
twin,ikiz
command,emretmek
commission,komisyon
interpretation,tercüme
breakfast,kahvaltı
strongly,şiddetle
engineering,mühendislik
luck,şans
so-called,Lafta
constant,devamlı
clinic,klinik
veteran,kıdemli
smell,koku
tablespoon,yemek kasigi
capable,yetenekli
nervous,gergin
tourist,turist
toss,atmak
crucial,hayati
bury,gömmek
pray,dua etmek
tomato,domates
exception,istisna
butter,tereyağı
deficit,açık
bathroom,banyo
objective,amaç
electronic,elektronik
ally,müttefik
journey,seyahat
reputation,itibar
mixture,karışım
surely,kesinlikle
tower,kule
smoke,Sigara içmek
confront,karşısına çıkmak
pure,saf
glance,bakış atmak
dimension,boyut
toy,oyuncak
prisoner,mahkum
fellow,aynı tür
smooth,düz
nearby,yakında
peer,akran
designer,tasarımcı
personnel,personel
educator,eğitimci
relative,akraba
immigration,göç
belt,kemer
teaspoon,çay kaşığı
birthday,doğum günü
implication,ima
perfectly,kusursuzca
coast,sahil
supporter,destekçi
accompany,eşlik etmek
silver,gümüş
teenager,genç
recognition,tanıma
retirement,emeklilik
flag,bayrak
recovery,iyileşmek
whisper,fısıltı
gentleman,beyefendi
corn,Mısır
moon,ay
inner,iç
junior,genç
throat,boğaz
salary,maaş
swing,sallanmak
observer,gözlemci
publication,yayın
crop,mahsul
dig,kazmak
permanent,kalıcı
phenomenon,fenomen
anxiety,endişe
unlike,farklı
wet,ıslak
literally,gerçekten
resist,direnmek
convention,ortak düşünce
embrace,kucaklamak
assist,yardım
exhibition,sergi
construct,inşa etmek
viewer,izleyici
pan,tava
consultant,danışman
administrator,yönetici
occasionally,ara sıra
mayor,Belediye Başkanı
consideration,düşünce
CEO,CEO
secure,güvenli
pink,pembe
buck,para
historic,tarihi
poem,şiir
grandmother,Nene
bind,bağlamak
fifth,beşinci
constantly,sürekli
enterprise,girişim
favor,iyilik
testing,test yapmak
stomach,karın
apparent,belirgin
weigh,tartmak
install,düzenlemek
sensitive,hassas
suggestion,telkin
mail,posta
recipe,yemek tarifi
reasonable,mantıklı
preparation,hazırlık
wooden,ahşap
elementary,temel
concert,konser
aggressive,agresif
FALSE,YANLIŞ
intention,niyet
channel,kanal
extreme,aşırı
tube,tüp
drawing,çizim
protein,protein
quit,çıkış yapmak
absence,yokluk
Latin,Latince
rapidly,hızlıca
jail,hapishane
diversity,çeşitlilik
honest,dürüst
Palestinian,Filistin
pace,adımlamak
employment,iş
speaker,hoparlör
impression,izlenim
essay,makale
respondent,katılımcı
giant,devasa
cake,kek
historian,tarihçi
negotiate,müzakere etmek
restore,eski haline getirmek
substantial,varlıklı
pop,pop
specialist,uzman
origin,Menşei
approval,onay
quietly,sessizce
advise,öğüt vermek
conventional,geleneksel
depth,derinlik
wealth,varlık
disability,sakatlık
shell,kabuk
criticize,eleştirmek
effectively,etkili bir şekilde
biological,biyolojik
onion,soğan
deputy,milletvekili
flat,düz
brand,marka
assure,garanti etmek
mad,kızgın
award,ödül
criteria,kriterler
dealer,satıcı
via,aracılığıyla
utility,Yarar
precisely,açık olarak
arise,kalkmak
armed,silahlı
nevertheless,yine de
highway,otoyol
clinical,klinik
routine,rutin
wage,maaş
normally,normalde
phrase,ifade etmek
ingredient,bileşen
stake,hisse
Muslim,Müslüman
fiber,lif
activist,aktivist
Islamic,İslami
snap,patlatmak
terrorism,terörizm
refugee,mülteci
incorporate,firma kurmak
hip,belki
ultimate,nihai
switch,anahtar
corporation,şirket
valuable,değerli
assumption,varsayım
gear,vites
barrier,bariyer
minor,küçük
provision,karşılık
killer,katil
assign,atamak
gang,çete
developing,gelişen
classic,klasik
chemical,kimyasal
label,etiket
teen,genç
index,dizin
vacation,tatil
advocate,avukat
draft,taslak
extraordinary,olağanüstü
heaven,cennet
rough,kaba 
yell,bağırmak
pregnant,hamile
distant,mesafe
drama,dram
satellite,uydu
personally,Şahsen
clock,saat
chocolate,çikolata
Italian,İtalyan
Canadian,Kanadalı
ceiling,tavan
sweep,süpürmek
advertising,reklam
universal,evrensel
spin,döndürmek
button,düğme
bell,zil
rank,rütbe
darkness,karanlık
clothing,Giyim
super,Süper
yield,teslim olmak
fence,çit
portrait,Vesika
survival,hayatta kalma
roughly,kabaca
lawsuit,dava
testimony,tanıklık
bunch,demet
found,kurmak
burden,yük
react,tepki
chamber,bölme
furniture,mobilya
cooperation,işbirliği
string,sicim
ceremony,tören
communicate,iletişim
cheek,yanak
lost,kayıp
profile,profil
mechanism,mekanizma
disagree,aynı fikirde olmamak
penalty,ceza
ie,yani
resort,tatil yeri
destruction,yıkım
unlikely,olası olmayan
tissue,doku
constitutional,anayasal
pant,pantolon
stranger,yabancı
infection,enfeksiyon
cabinet,kabine
broken,kırık
apple,elma
electric,elektrik
proceed,ilerlemek
bet,bahis
literary,edebi
virus,virüs
stupid,aptal
dispute,anlaşmazlık
fortune,talih
strategic,stratejik
assistant,asistan
overcome,üstesinden gelmek
remarkable,dikkat çekici
occupy,işgal etmek
statistics,İstatistik
shopping,alışveriş
cousin,kuzen
encounter,rastlamak
wipe,silip süpürmek
initially,ilk olarak
blind,kör
port,liman
electricity,elektrik
genetic,genetik
adviser,danışman
spokesman,sözcü
retain,sürdürmek
latter,sonuncusu
incentive,teşvik
slave,köle
translate,Çevirmek
accurate,kesin
whereas,halbuki
terror,terör
expansion,genleşme
elite,seçkinler
Olympic,Olimpiyat
dirt,kir
odd,garip
rice,pirinç
bullet,kurşun
tight,sıkı
Bible,Kutsal Kitap
chart,çizelge
solar,güneş
square,kare
concentration,konsantrasyon
complicated,karmaşık
gently,nazikçe
champion,şampiyon
scenario,senaryo
telescope,teleskop
reflection,refleks
revolution,devrim
strip,şerit
interpret,yorumlamak
friendly,arkadaşça
tournament,turnuva
fiction,kurgu
detect,tespit etmek
tremendous,muazzam
lifetime,ömür
recommendation,öneri
senator,senatör
hunting,Avcılık
salad,salata
guarantee,garanti
innocent,masum
boundary,sınır
pause,Duraklat
remote,uzak
satisfaction,memnuniyet
journal,günlük
bench,Bank
lover,sevgili
raw,çiğ
awareness,farkındalık
surprising,şaşırtıcı
withdraw,geri çekilmek
deck,güverte
similarly,benzer şekilde
newly,yeni
pole,kutup
testify,tanıklık etmek
mode,mod
dialogue,diyalog
imply,ima etmek
naturally,doğal olarak
mutual,karşılıklı
founder,kurucu
advanced,gelişmiş
pride,gurur
dismiss,azletmek
aircraft,uçak
delivery,teslimat
mainly,daha çok
bake,pişmek
freeze,donmak
platform,platformu
finance,finans
sink,atmak
attractive,çekici
diverse,türlü
relevant,ilgili
ideal,ideal
joy,neşe
regularly,düzenli olarak
working,çalışma
singer,şarkıcı
evolve,evrim geçirmek
shooting,çekim
partly,kısmen
unknown,Bilinmeyen
offense,suç
counter,tezgah
DNA,DNA
potentially,potansiyel olarak
thirty,otuz
justify,savunmak
protest,protesto
crash,kaza
craft,zanaat
treaty,antlaşma
terrorist,terörist
insight,iç yüzü
possess,elinde bulundurmak
politically,politik olarak
tap,musluk
extensive,yaygın
episode,bölüm
swim,yüzmek
tire,yorulmak
fault,arıza
loose,gevşetmek
shortly,kısaca
originally,aslında
considerable,hatırı sayılır
prior,önceki
intellectual,entelektüel
assault,saldırı
relax,rahatlamak
stair,merdiven
adventure,macera
external,harici
proof,kanıt
confident,kendinden emin
headquarters,Merkez
sudden,birden
dirty,kirli
violation,ihlal
tongue,dil
license,lisans
shelter,barınak
rub,ovmak
controversy,tartışma
entrance,giriş
properly,düzgün bir şekilde
fade,solmak
defensive,savunma
tragedy,trajedi
net,açık
characterize,karakterize etmek
funeral,cenaze
profession,meslek
alter,değiştirmek
constitute,oluşturmak
establishment,kuruluş
squeeze,sıkmak
imagination,hayal gücü
mask,maske
convert,dönüştürmek
comprehensive,kapsayıcı
prominent,öne çıkan
presentation,sunum
regardless,ne olursa olsun
load,yük
stable,stabil
introduction,giriiş
pretend,numara yapmak
elderly,yaşlı
representation,temsil
deer,geyik
split,bölmek
violate,ihlal etmek
partnership,ortaklık
pollution,kirlilik
emission,emisyon
steady,sabit durmak
vital,hayati
fate,kader
earnings,kazanç
oven,fırın
distinction,ayrım
segment,bölüm
nowhere,Hiçbir yerde
poet,şair
mere,sadece
exciting,heyecan verici
variation,varyasyon
comfort,konfor
radical,radikal
adapt,adapte olmak
Irish,İrlandalı
honey,Bal
correspondent,muhabir
pale,solgun
musician,müzisyen
significance,önem
vessel,gemi
storage,depolamak
flee,kaçmak
mm-hmm,mm-hmm
leather,deri
distribute,dağıtmak
evolution,evrim
ill,hasta
tribe,kabile
shelf,raf
grandfather,Büyük baba
lawn,çim
buyer,alıcı
dining,yemek
wisdom,bilgelik
council,konsey
vulnerable,hassas
instance,misal
garlic,sarımsak
capability,kabiliyet
poetry,şiir
celebrity,ünlü
gradually,gitgide
stability,istikrar
fantasy,fantezi
scared,korkmuş
plot,komplo
framework,çerçeve
gesture,jest yapmak
depending,bağlı olarak
ongoing,devam ediyor
psychology,Psikoloji
counselor,danışman
chapter,bölüm
divorce,boşanmak
owe,sahip olmak
pipe,boru
athletic,atletik
slight,hafif
math,matematik
shade,gölge
tail,kuyruk
sustain,güç vermek
mount,montaj
obligation,yükümlülük
angle,açı
palm,avuç içi
differ,farklılık
custom,gelenek
economist,iktisatçı
fifteen,on beş
soup,çorba
celebration,kutlama
efficient,verimli
composition,kompozisyon
satisfy,tatmin etmek
pile,istif
briefly,kısaca
carbon,karbon
closer,daha yakın
consume,tüketmek
scheme,şema
crack,çatırtı
frequency,sıklık
tobacco,tütün
survivor,hayatta kalan
besides,Ayrıca
psychologist,psikolog
wealthy,zengin
galaxy,gökada
given,verildi
ski,kayak
limitation,sınırlama
trace,iz
appointment,randevu
preference,tercih
meter,metre
explosion,patlama
publicly,halka açık
incredible,inanılmaz
fighter,savaşçı
rapid,ani
admission,kabul
hunter,avcı
educate,Eğitim vermek
painful,acı verici
friendship,dostluk
aide,yardımcı
infant,bebek
calculate,hesaplamak
fifty,elli
rid,kurtulmak
porch,sundurma
tendency,eğilim
uniform,üniforma
formation,formasyon
scholarship,burs
reservation,rezervasyon
efficiency,yeterlik
qualify,nitelemek
mall,alışveriş merkezi
derive,türetmek
scandal,skandal
PC,bilgisayar
helpful,yardımsever
impress,etkilemek
heel,topuk
resemble,benzemek
privacy,mahremiyet
fabric,kumaş
contest,yarışma
proportion,oran
guideline,yönerge
rifle,tüfek
maintenance,Bakım
conviction,mahkumiyet
trick,kandırmak
organic,organik
tent,çadır
examination,muayene
publisher,Yayımcı
strengthen,güçlendirmek
proposed,önerilen
myth,efsane
sophisticated,komplike
cow,inek
etc,vesaire
standing,ayakta
asleep,uyuya kalmak
tennis,tenis
nerve,sinir
barrel,varil
bombing,bombalama
membership,üyelik
ratio,oran
menu,Menü
controversial,tartışmalı
desperate,çaresiz
lifestyle,yaşam tarzı
humor,mizah
loud,yüksek sesle
glove,eldiven
sufficient,yeterli
narrative,anlatı
photographer,fotoğrafçı
helicopter,helikopter
modest,mütevazı
provider,Sağlayıcı
delay,gecikme
agricultural,tarımsal
explode,patlamak
stroke,felç
scope,kapsam
punishment,ceza
handful,avuç
badly,kötü
horizon,ufuk
curious,meraklı
downtown,şehir merkezi
girlfriend,kız arkadaşı
prompt,çabuk
cholesterol,kolesterol
absorb,emmek
adjustment,ayar
taxpayer,vergi mükellefi
eager,istekli
principal,müdür
detailed,detaylı
motivation,motivasyon
assignment,atama
restriction,kısıtlama
laboratory,laboratuvar
workshop,atölye
differently,farklı
auto,Oto
romantic,romantik
cotton,pamuk
motor,motor
sue,Dava açmak
flavor,lezzet
overlook,görmezden gelmek
float,batmadan yüzmek
undergo,uğramak
sequence,sekans
demonstration,gösteri
jet,jet
orange,turuncu
consumption,tüketim
assert,ileri sürmek
blade,bıçak ağzı
temporary,geçici
medication,ilaç tedavisi
cabin,kabin
bite,ısırmak
edition,baskı
valley,vadi
yours,senin
pitch,saha
pine,çam
brilliant,muhteşem
versus,e karşı
manufacturing,üretme
absolute,mutlak
chef,şef
discrimination,ayrımcılık
offensive,saldırgan
boom,Boom
register,kayıt olmak
appoint,atamak
heritage,miras
God,Tanrı
dominant,baskın
successfully,başarıyla
shit,bok
lemon,limon
hungry,aç
wander,dolaşmak
submit,göndermek
economics,ekonomi
naked,çıplak
anticipate,beklemek
nut,ceviz
legacy,miras
extension,eklenti
shrug,omuz silkmek
battery,pil
arrival,varış
legitimate,meşru
orientation,oryantasyon
inflation,şişirme
cope,başa çıkmak
flame,alev
cluster,küme
wound,yara
dependent,bağımlı
shower,duş
institutional,kurumsal
depict,göstermek
operating,işletme
flesh,et
garage,garaj
operator,Şebeke
instructor,eğitmen
collapse,yıkılmak
borrow,borç almak
furthermore,üstelik
comedy,komedi
mortgage,ipotek
sanction,yaptırım
civilian,sivil
twelve,on iki
weekly,haftalık
habitat,doğal ortam
grain,tahıl
brush,fırçalamak
consciousness,bilinç
devote,adamak
measurement,ölçüm
province,vilayet
ease,kolaylaştırmak
seize,kapmak
ethics,etik
nomination,adaylık
permission,izin
wise,bilge
actress,aktris
summit,toplantı
acid,asit
odds,ihtimaller
gifted,yetenekli
frustration,hüsran
medium,orta
physically,fiziksel olarak
distinguish,ayırt etmek
shore,sahil
repeatedly,defalarca
lung,akciğer
running,koşma
distinct,belirgin
artistic,sanatsal
discourse,söylem
basket,sepet
ah,Ah
fighting,savaş
impressive,etkileyici
competitor,yarışmacı
ugly,çirkin
worried,endişeli
portray,canlandırmak
powder,pudra
ghost,hayalet
persuade,ikna etmek
moderate,ılıman
subsequent,sonraki
continued,devam etti
cookie,kurabiye
carrier,taşıyıcı
cooking,yemek pişirmek
frequent,sık
ban,yasak
awful,berbat
admire,beğenmek
pet,Evcil Hayvan
miracle,mucize
exceed,aşmak
rhythm,ritim
widespread,yaygın
killing,öldürme
lovely,sevimli
sin,günah
charity,hayır kurumu
script,senaryo
tactic,taktik
identification,Tanılama
transformation,dönüşüm
everyday,Her gün
headline,başlık
venture,girişim
invasion,istila
nonetheless,Her şeye rağmen
adequate,yeterli
piano,piyano
grocery,bakkal
intensity,yoğunluk
exhibit,sergilemek
blanket,battaniye
margin,marj
quarterback,oyun kurucu
mouse,fare
rope,halat
concrete,beton
prescription,reçete
African-American,Afrikan Amerikan
chase,takip etmek
brick,tuğla
recruit,iyileştirmek
patch,yama
consensus,uzlaşma
horror,korku
recording,kayıt
changing,değiştirme
painter,ressam
colonial,sömürge
pie,turta
sake,hatır
gaze,bakış
courage,cesaret
pregnancy,gebelik
swear,küfür
defeat,yenmek
clue,ipucu
reinforce,güçlendirmek
confusion,"bilinç bulanıklığı, konfüzyon"
slice,dilim
occupation,meslek
dear,Sayın
coal,kömür
sacred,kutsal
formula,formül
cognitive,bilişsel
collective,toplu
exact,bire bir aynı
uncle,amca
captain,Kaptan
sigh,iç çekmek
attribute,bağlanmak
dare,cesaret etmek
homeless,evsiz
gallery,galeri
soccer,futbol
defendant,sanık
tunnel,tünel
fitness,Fitness
lap,kucak
grave,mezar
toe,ayak parmağı
container,konteyner
virtue,Erdem
abroad,yurt dışı
architect,mimar
dramatically,dramatik bir şekilde
makeup,makyaj yapmak
inquiry,sorgu
rose,gül
surprisingly,şaşırtıcı bir şekilde
highlight,vurgulamak
decrease,azaltmak
indication,gösterge
rail,Demiryolu
anniversary,yıl dönümü
couch,kanepe
alliance,ittifak
hypothesis,hipotez
boyfriend,erkek arkadaş
compose,beste yapmak
mess,karışıklık
legend,efsane
regulate,düzenlemek
adolescent,ergen
shine,parlamak
norm,norm
upset,üzgün
remark,açıklama
resign,istifa etmek
reward,ödül
gentle,nazik
related,ilgili
organ,organ
lightly,hafifçe
concerning,ilişkin
invent,icat etmek
laughter,kahkaha
northwest,Kuzey Batı
counseling,danışmanlık
receiver,alıcı
ritual,ritüel
insect,böcek
interrupt,yarıda kesmek
salmon,somon
trading,ticaret
magic,büyü
superior,üst
combat,dövüş
stem,kök
surgeon,Cerrah
acceptable,kabul edilebilir
physics,fizik
rape,tecavüz
counsel,öğüt
jeans,kot
hunt,avlamak
continuous,sürekli
log,kayıt
echo,Eko
pill,hap
excited,heyecanlı
sculpture,heykel
compound,birleştirmek
integrate,birleştirmek
flour,un
bitter,acı
bare,çıplak
slope,eğim
rent,kira
presidency,başkanlık
serving,hizmet
subtle,hemen göze çarpmayan
greatly,büyük ölçüde
bishop,piskopos
drinking,içme
acceptance,kabul
pump,pompa
candy,Şeker
evil,fenalık
pleased,memnun
medal,madalya
beg,dilenmek
sponsor,sponsor
ethical,etik
secondary,ikincil
slam,çarpmak
export,ihracat
experimental,deneysel
melt,eritmek
midnight,gece yarısı
curve,eğri
integrity,bütünlük
entitle,hak vermek
evident,belirgin
logic,mantık
essence,öz
exclude,hariç tutmak
harsh,sert
closet,dolap
suburban,banliyö
greet,selamlaşmak
interior,iç mekan
corridor,koridor
retail,perakende
pitcher,sürahi
march,mart
snake,yılan
excuse,mazeret
weakness,zayıflık
pig,domuz
classical,klasik
estimated,tahmini
T-shirt,Tişört
unemployment,işsizlik
civilization,uygarlık
fold,katlamak
reverse,tersi
missing,eksik
correlation,korelasyon
humanity,insanlık
flash,flaş
developer,geliştirici
reliable,güvenilir
excitement,heyecanlanmak
beef,biftek
Islam,İslâm
Roman,Roma
architecture,mimari
occasional,ara sıra
administrative,Yönetim
elbow,dirsek
deadly,ölümcül
Hispanic,İspanyol
allegation,iddia
confuse,kafası karışmak
airplane,uçak
monthly,aylık
duck,ördek
dose,doz
Korean,Koreli
plead,yalvarmak
initiate,başlatmak
lecture,ders
van,kamyonet
sixth,altıncı
bay,koy
mainstream,ana akım
suburb,kenar mahalle
sandwich,sandviç
trunk,gövde
rumor,söylenti
implementation,uygulama
swallow,yutmak
motivate,motive etmek
render,oluşturmak
longtime,uzun zaman
trap,tuzak
restrict,kısıtlamak
cloth,kumaş
seemingly,görünüşte
legislative,yasama
effectiveness,verimlilik
enforce,zorlamak
lens,lens
inspector,müfettiş
lend,ödünç vermek
plain,ova
fraud,sahtekar
companion,Arkadaş
contend,çekişmek
nail,çivi
array,sıralamak
strict,sıkı
assemble,birleştirmek
frankly,açıkçası
rat,fare
hay,saman
hallway,koridor
cave,mağara
inevitable,kaçınılmaz
southwest,güneybatı
monster,canavar
unexpected,beklenmedik
obstacle,engel
facilitate,kolaylaştırmak
rip,Huzur içinde yatsın
herb,bitki
overwhelming,ezici
integration,entegrasyon
crystal,kristal
recession,durgunluk
written,yazılı
motive,sebep
flood,sel basmak
pen,dolma kalem
ownership,mülkiyet
nightmare,kabus
inspection,denetleme
supervisor,gözetmen
consult,danışmak
arena,arena
diagnosis,Teşhis
possession,mülk
forgive,affetmek
consistently,sürekli
basement,bodrum
drift,sürüklenme
drain,boşaltmak
prosecution,Soruşturma
maximum,maksimum
announcement,duyuru
warrior,savaşçı
prediction,tahmin
bacteria,bakteri
questionnaire,anket
mud,çamur
infrastructure,altyapı
hurry,acele etmek
privilege,ayrıcalık
temple,tapınak
outdoor,dış mekan
suck,emmek
and/or,ve/veya
broadcast,yayın
re,tekrar
leap,sıçramak
random,rastgele
wrist,bilek
curtain,perde
pond,gölet
domain,ihtisas
guilt,suç
cattle,sığırlar
walking,yürüme
playoff,Final oynamak
minimum,minimum
fiscal,mali
skirt,etek
dump,çöplük
hence,buradan
database,veri tabanı
uncomfortable,rahatsız
execute,uygulamak
limb,uzuv
ideology,ideoloji
tune,melodi
continuing,devam ediyor
harm,zarar
railroad,demiryolu
endure,dayanmak
radiation,radyasyon
horn,korna
chronic,kronik
peaceful,barışçıl
innovation,yenilik
strain,gerilmek
guitar,gitar
replacement,yenisiyle değiştirme
behave,davranmak
administer,yönetmek
simultaneously,eşzamanlı
dancer,dansçı
amendment,değişiklik
pad,ped
transmission,bulaşma
await,beklemek
retired,emekli
trigger,tetiklemek
spill,dökülme
grateful,minnettar
grace,lütuf
virtual,sanal
colony,koloni
adoption,Benimseme
indigenous,yerli
closed,kapalı
convict,mahkum
towel,havlu
modify,değiştirmek
particle,parçacık
prize,ödül
landing,iniş
boost,artırmak
bat,yarasa
alarm,alarm
festival,Festival
grip,kavramak
weird,garip
undermine,baltalamak
freshman,birinci sınıf öğrencisi
sweat,ter
outer,dış
drunk,sarhoş
separation,ayrılma
traditionally,geleneksel olarak
govern,yönetmek
southeast,güneydoğu
intelligent,zeki
wherever,her nerede
ballot,oy pusulası
rhetoric,retorik
convinced,ikna edilmiş
driving,sürme
vitamin,vitamini
enthusiasm,heves
accommodate,Karşılamak
praise,övmek
injure,yaralamak
wilderness,el değmemiş doğa
endless,sonsuz
mandate,vekalet
respectively,sırasıyla
uncertainty,belirsizlik
chaos,kaos
mechanical,mekanik
canvas,tuval
forty,kırk
lobby,lobi
profound,engin
format,biçim
trait,karakter
currency,para birimi
turkey,Türkiye
reserve,rezerv
beam,ışın
astronomer,astronom
corruption,yolsuzluk
contractor,müteahhit
apologize,özür dilemek
doctrine,doktrin
genuine,eşsiz
thumb,baş parmak
unity,birlik
compromise,anlaşmak
horrible,berbat
behavioral,davranışsal
exclusive,özel
scatter,dağılım
commonly,yaygın olarak
convey,iletmek
twist,büküm
complexity,karmaşıklık
fork,çatal
disk,disk
relieve,rahatlamak
suspicion,şüphe
health-care,sağlık hizmeti
residence,Konut
shame,utanç
meaningful,anlamlı
sidewalk,kaldırım
Olympics,Olimpiyatlar
technological,teknolojik
signature,imza
pleasant,güzel
wow,Vay
suspend,askıya almak
rebel,isyancı
frozen,dondurulmuş
spouse,eş
fluid,sıvı
pension,emeklilik
resume,sürdürmek
theoretical,teorik
sodium,sodyum
promotion,terfi
delicate,narin
forehead,alın
rebuild,yeniden inşa etmek
bounce,sıçrama
electrical,elektriksel
hook,kanca
detective,dedektif
traveler,gezgin
click,tıklamak
compensation,tazminat
exit,çıkış
attraction,cazibe
dedicate,adamak
altogether,tamamen
pickup,toplamak
carve,oymak
needle,iğne
belly,karın
scare,Korkmak
portfolio,portföy
shuttle,servis aracı
invisible,görünmez
timing,zamanlama
engagement,nişanlanmak
ankle,bilek
transaction,işlem
rescue,kurtarmak
counterpart,karşılık
historically,tarihsel olarak
firmly,sıkıca
mild,hafif
rider,binici
doll,oyuncak bebek
noon,öğlen
amid,ortasında
identical,birebir aynı
precise,kesin
anxious,endişeli
structural,yapısal
residential,yerleşim
diagnose,teşhis koymak
carbohydrate,karbonhidrat
liberty,özgürlük
poster,afiş
theology,teoloji
nonprofit,kar amacı gütmeyen
crawl,sürünmek
oxygen,oksijen
handsome,Yakışıklı
sum,toplam
provided,tedarik edilen
businessman,işadamı
promising,umut verici
conscious,bilinçli
determination,kararlılık
donor,bağışçı
hers,onunki
pastor,papaz
jazz,caz
opera,opera
acquisition,kazanma
pit,çukur
